experiment_id,condition,task_a_case,task_b_case,task_a_source,task_b_source,task_a_workflow_sha256,task_b_workflow_sha256,field_count_definition,task_a_total_leaf_fields,task_b_total_leaf_fields,semantic_changed_leaf_values_count,semantic_changed_leaf_values,semantic_added_fields_count,semantic_added_fields,semantic_removed_fields_count,semantic_removed_fields,semantic_modified_nodes_count,semantic_modified_nodes,semantic_bindings_affected_count,semantic_bindings_affected,manual_observed_actions_count,manual_observed_actions,builder_exposed_inputs_actions_count,builder_exposed_inputs_actions,generated_fields_count,generated_fields,generated_node_definitions_count,generated_node_definitions,generated_input_bindings_count,generated_output_bindings_count,generated_required_input_declarations_count,generated_execution_order_count,generated_execution_order,validation_status,execution_status,trace_order_match,repair_count,runtime_modified
builder_v2_pilot_20260916,manual,travel_a,commute_b,configs/builder_templates/outfit_recommendation_template.json,configs/builder_templates/commute_outfit_template.json,dc9297004ec61532955802271c8dee26914fddf20fa85cbfda8e48c7c92671f1,7b3dccfb3657b0176c070a07cd40504111ff196a05e37b53f3668dca3e385d02,scalar leaf fields; arrays use indexed paths; empty containers produce no leaf,161,159,46,agents[0].name;agents[0].role;agents[1].name;agents[1].role;agents[2].role;agents[3].name;agents[3].role;agents[4].name;agents[4].role;agents[5].name;agents[5].role;default_query;default_user_id;description;nodes[0].name;nodes[0].role;nodes[1].name;nodes[1].role;nodes[2].role;nodes[3].name;nodes[3].role;nodes[4].name;nodes[4].role;nodes[5].name;nodes[5].role;question_agent.clarification_message;question_agent.clarification_questions.city;question_agent.clarification_questions.date;question_agent.clarification_questions.purpose_or_style;question_agent.purpose_keywords[0];question_agent.purpose_keywords[1];question_agent.purpose_keywords[3];question_agent.purpose_keywords[4];question_agent.purpose_keywords[5];question_agent.purpose_keywords[6];question_agent.purpose_keywords[7];question_agent.purpose_keywords[8];question_agent.style_keywords[0];question_agent.style_keywords[1];question_agent.style_keywords[2];question_agent.style_keywords[3];question_agent.style_keywords[4];question_agent.style_keywords[5];question_agent.style_keywords[6],0,,2,question_agent.purpose_keywords[10];question_agent.purpose_keywords[9],6,compose;question;recommendation;request_parser;shopping_analysis;weather,0,none;12 input bindings retained;43 output bindings retained,3,preset;workflow_name;query,,,,,,,,,,,,PASS,PASS,True,0,False
builder_v2_pilot_20260916,builder,travel_a,commute_b,configs/builder_templates/outfit_recommendation_template.json,configs/builder_templates/commute_outfit_template.json,dc9297004ec61532955802271c8dee26914fddf20fa85cbfda8e48c7c92671f1,7b3dccfb3657b0176c070a07cd40504111ff196a05e37b53f3668dca3e385d02,scalar leaf fields; arrays use indexed paths; empty containers produce no leaf,161,159,46,agents[0].name;agents[0].role;agents[1].name;agents[1].role;agents[2].role;agents[3].name;agents[3].role;agents[4].name;agents[4].role;agents[5].name;agents[5].role;default_query;default_user_id;description;nodes[0].name;nodes[0].role;nodes[1].name;nodes[1].role;nodes[2].role;nodes[3].name;nodes[3].role;nodes[4].name;nodes[4].role;nodes[5].name;nodes[5].role;question_agent.clarification_message;question_agent.clarification_questions.city;question_agent.clarification_questions.date;question_agent.clarification_questions.purpose_or_style;question_agent.purpose_keywords[0];question_agent.purpose_keywords[1];question_agent.purpose_keywords[3];question_agent.purpose_keywords[4];question_agent.purpose_keywords[5];question_agent.purpose_keywords[6];question_agent.purpose_keywords[7];question_agent.purpose_keywords[8];question_agent.style_keywords[0];question_agent.style_keywords[1];question_agent.style_keywords[2];question_agent.style_keywords[3];question_agent.style_keywords[4];question_agent.style_keywords[5];question_agent.style_keywords[6],0,,2,question_agent.purpose_keywords[10];question_agent.purpose_keywords[9],6,compose;question;recommendation;request_parser;shopping_analysis;weather,0,none;12 input bindings retained;43 output bindings retained,,,3,preset;workflow_name;query,157,workflow_id;description;runtime_type;base_agent_config;data_file;data_dir;default_user_id;agents;nodes;question_agent;execution;input_bindings;output_bindings;required_inputs,6,compose;question;recommendation;request_parser;shopping_analysis;weather,12,43,12,6,request_parser;question;weather;shopping_analysis;recommendation;compose,PASS,PASS,True,0,False

